size,stride,cycles
1024,2,24.000
1120,2,24.000
1216,2,25.000
1312,2,13.000
1408,2,13.000
1504,2,13.000
1600,2,13.000
1696,2,13.000
1792,2,13.000
1888,2,13.000
1984,2,24.000
2080,2,25.000
2176,2,24.000
2272,2,13.000
2368,2,13.000
2464,2,13.000
2560,2,13.000
2656,2,13.000
2752,2,13.000
2848,2,13.000
2944,2,25.000
3040,2,24.000
3136,2,13.000
3232,2,13.000
3328,2,13.000
3424,2,13.000
3520,2,13.000
3616,2,24.000
3712,2,26.000
3808,2,25.000
3904,2,25.000
4000,2,13.000
4096,2,13.000
4864,2,13.000
5632,2,13.000
6400,2,26.000
7168,2,30.000
7936,2,28.000
8704,2,13.000
9472,2,13.000
10240,2,13.000
11008,2,32.000
11776,2,33.000
12544,2,14.000
13312,2,15.000
14080,2,36.000
14848,2,16.000
15616,2,17.000
16384,2,28.000
19456,2,19.000
22528,2,35.000
25600,2,21.000
28672,2,22.000
31744,2,23.000
34816,2,23.000
37888,2,24.000
40960,2,24.000
44032,2,24.000
47104,2,25.000
50176,2,25.000
53248,2,25.000
56320,2,25.000
59392,2,33.000
62464,2,25.000
65536,2,26.000
77824,2,53.000
90112,2,29.000
102400,2,30.000
114688,2,32.000
126976,2,40.000
139264,2,33.000
151552,2,33.000
163840,2,34.000
176128,2,35.000
188416,2,34.000
200704,2,35.000
212992,2,35.000
225280,2,35.000
237568,2,36.000
249856,2,36.000
262144,2,41.000
311296,2,40.000
360448,2,58.000
409600,2,85.000
458752,2,84.000
507904,2,97.000
557056,2,106.000
606208,2,112.000
655360,2,121.000
704512,2,109.000
753664,2,128.000
802816,2,135.000
851968,2,141.000
901120,2,140.000
950272,2,145.000
999424,2,132.000
1048576,2,86.000
1245184,2,166.000
1441792,2,114.000
1638400,2,117.000
1835008,2,181.000
2031616,2,192.000
2228224,2,114.000
2424832,2,127.000
2621440,2,130.000
2818048,2,225.000
3014656,2,233.000
3211264,2,245.000
3407872,2,284.000
3604480,2,230.000
3801088,2,172.000
3997696,2,193.000
4194304,2,307.000
4980736,2,221.000
5767168,2,351.000
6553600,2,257.000
7340032,2,379.000
8126464,2,393.000
8912896,2,391.000
9699328,2,420.000
10485760,2,264.000
11272192,2,386.000
12058624,2,428.000
12845056,2,438.000
13631488,2,445.000
14417920,2,329.000
15204352,2,372.000
15990784,2,460.000
16777216,2,465.000
19922944,2,341.000
23068672,2,347.000
26214400,2,400.000
29360128,2,511.000
32505856,2,505.000
35651584,2,498.000
38797312,2,369.000
41943040,2,508.000
